Book Name,Views,Keyword 1,Keyword 2,Keyword 3,MC Gender,Release Year
"The Freshman, Book 1",43700000,College,Friendship,Sorority,Female,2016
"The Royal Romance, Book 1",29300000,Modern,Prince,Kingdom,Female,2017
"High School Story, Book 1",18400000,Football,Cheerleaders,Friendship,GOC,2017
"Rules of Engagement, Book 1",15200000,Inheritance,Engagement,Wedding,Female,2016-2017
"The Crown & The Flame, Book 1",15100000,Fantasy,Dragons,Princess,GOC,2016
"The Freshman, Book 2",10500000,College,Friendship,Theater,Female,2016
"LoveHacks, Book 1",8200000,Dating,Friendship,Internet,Female,2016-2017
"Endless Summer, Book 1",7100000,Island,Mystery,College,GOC,2016-2017
"The Freshman, Book 3",6100000,College,Friendship,Bad Boy,Female,2016-2017
"Bloodbound, Book 1",6100000,Sexy,Vampires,CEO,Female,2018
"Rules of Engagement, Book 2",5400000,Inheritance,Engagement,Wedding,Female,2017
Most Wanted,5200000,Crime,Fugitive,Romance,GOC,2016
"America's Most Eligible, Book 1",5100000,Reality TV,Romance,Elimination,GOC,2018
The Freshman: Game of Love,4900000,College,Friendship,Valentines,Female,2017
"Perfect Match, Book 1",4700000,Romance,Matchmaker,Mystery,GOC,2018
"The Sophomore, Book 1",4400000,College,Sophomore,Friendship,Female,2017
The Freshman: Snowed In,4200000,College,Christmas,Holiday,Female,2016
"The Royal Romance, Book 2",4000000,Modern,Prince,Kingdom,Female,2017-2018
The Freshman: Love Bites,3800000,College,Halloween,Spooky,Female,2016
The Haunting of Braidwood Manor,3700000,Victorian,Ghosts,Paranormal,Female,2017
"The Freshman, Book 4",3600000,College,Friendship,Road Trip,Female,2017
"High School Story, Book 2",3600000,Basketball,Cheerleaders,Friendship,GOC,2017-2018
"Red Carpet Diaries, Book 1",3200000,Hollywood,Actress,Celebrity,Female,2017-2018
It Lives in the Woods,3000000,High School,Horror,Supernatural,GOC,2017-2018
"Rules of Engagement, Book 3",2900000,Inheritance,Engagement,Wedding,Female,2017
"Big Sky Country, Book 1",2800000,Cowboy,Romance,Western,GOC,2018
Hero,2700000,Adventure,Superhero,Powers,GOC,2017
Home for the Holidays,2600000,Christmas,CEO,Small Town,Female,2017-2018
"The Royal Romance, Book 3",2400000,Modern,Prince,Kingdom,Female,2018
"The Crown & The Flame, Book 2",2300000,Fantasy,Dragons,Princess,GOC,2016
"The Elementalists, Book 1",2300000,Wizards,College,Mystery,GOC,2018-2019
"LoveHacks, Book 2",2200000,Dating,Friendship,Internet,Female,2017
Rules of Engagement: Newlyweds,2200000,Inheritance,Engagement,Wedding,Female,2017
"Desire & Decorum, Book 1",2200000,Regency,Romance,Courtship,Female,2018
"Open Heart, Book 1",2000000,Medical,Drama,Doctors,GOC,2019
"HSS: Class Act, Book 1",1900000,Romance,Theater,Friendship,GOC,2018-2019
"High School Story, Book 3",1800000,Baseball,Cheerleaders,Friendship,GOC,2018
Veil of Secrets,1800000,Coastal,Mystery,Secrets,GOC,2018
Ride-or-Die: A Bad Boy Romance,1800000,Street Racing,Romance,Adrenaline,Female,2019
"Endless Summer, Book 2",1400000,Island,Mystery,Sci-Fi,GOC,2017
"The Sophomore, Book 2",1400000,College,Sophomore,Sabotage,Female,2017-2018
The Junior,1400000,College,Junior,Mystery,Female,2018
A Courtesan of Rome,1400000,Historical,Romance,Gladiators,Female,2018-2019
"The Crown & The Flame, Book 3",1300000,Fantasy,Dragons,Princess,GOC,2017
The Heist: Monaco,1200000,Crime,Classy,Team,GOC,2018-2019
Sunkissed,1200000,Summer,Romance,Lifeguard,Female,2019
Across The Void,1100000,Cruise Ship,Galaxy,Alien Worlds,GOC,2018-2019
The Sophomore: Hartfeld Horror Story,1000000,College,Sophomore,Horror,Female,2017
